collection_date,collection_time,from_station_id,from_station_name,to_station_id,to_station_name,departure_date,arrival_date,departure_time,arrival_time,departure_timestamp,arrival_timestamp,duration_minutes,duration_str,transfers,departure_delay,arrival_delay,travel_delay,departure_platform,arrival_platform,capacity1st,capacity2nd,products,section_1_category,section_1_number,section_1_operator,section_1_from_id,section_1_from_name,section_1_departure_time,section_1_departure_timestamp,section_1_departure_delay,section_1_departure_platform,section_1_to_id,section_1_to_name,section_1_arrival_time,section_1_arrival_timestamp,section_1_arrival_delay,section_1_arrival_platform,section_1_delay_change
2025-04-06,10:52:44,8503000,Zürich HB,8505000,Luzern,2025-01-09,2025-01-09,16:35:00,17:25:00,16:35:00,17:25:00,50,00d00:50:00,0,0,0,0,11,5,,,IR,IR,75,SBB,8503000,Zürich HB,16:35:00,16:35:00,0,11,8505000,Luzern,17:25:00,17:25:00,0,5,0
2025-04-06,10:52:44,8503000,Zürich HB,8505000,Luzern,2025-01-09,2025-01-09,16:39:00,17:39:00,16:39:00,17:39:00,60,00d01:00:00,0,0,0,0,4,10,,,IR,IR,002567,SBB,8503000,Zürich HB,16:39:00,16:39:00,0,4,8505000,Luzern,17:39:00,17:39:00,0,10,0
2025-04-06,10:52:44,8503000,Zürich HB,8505000,Luzern,2025-01-09,2025-01-09,17:10:00,17:51:00,17:10:00,17:51:00,41,00d00:41:00,0,0,0,0,11,3,,,IR,IR,70,SBB,8503000,Zürich HB,17:10:00,17:10:00,0,11,8505000,Luzern,17:51:00,17:51:00,0,3,0
2025-04-06,10:52:45,8503000,Zürich HB,8505000,Luzern,2025-01-09,2025-01-09,18:10:00,18:51:00,18:10:00,18:51:00,41,00d00:41:00,0,0,0,0,6,7,,,IR,IR,70,SBB,8503000,Zürich HB,18:10:00,18:10:00,0,6,8505000,Luzern,18:51:00,18:51:00,0,7,0
2025-04-06,10:52:45,8503000,Zürich HB,8505000,Luzern,2025-01-09,2025-01-09,18:35:00,19:25:00,18:35:00,19:25:00,50,00d00:50:00,0,0,0,0,5,5,,,IR,IR,75,SBB,8503000,Zürich HB,18:35:00,18:35:00,0,5,8505000,Luzern,19:25:00,19:25:00,0,5,0
2025-04-06,10:52:45,8503000,Zürich HB,8505000,Luzern,2025-01-09,2025-01-09,19:10:00,19:51:00,19:10:00,19:51:00,41,00d00:41:00,0,0,0,0,6,3,,,IR,IR,70,SBB,8503000,Zürich HB,19:10:00,19:10:00,0,6,8505000,Luzern,19:51:00,19:51:00,0,3,0
2025-04-06,10:52:45,8503000,Zürich HB,8505000,Luzern,2025-01-09,2025-01-09,19:35:00,20:25:00,19:35:00,20:25:00,50,00d00:50:00,0,0,0,0,6,3,,,IR,IR,75,SBB,8503000,Zürich HB,19:35:00,19:35:00,0,6,8505000,Luzern,20:25:00,20:25:00,0,3,0
2025-04-06,10:52:46,8503000,Zürich HB,8505000,Luzern,2025-01-09,2025-01-09,20:10:00,20:51:00,20:10:00,20:51:00,41,00d00:41:00,0,0,0,0,6,3,,,IR,IR,70,SBB,8503000,Zürich HB,20:10:00,20:10:00,0,6,8505000,Luzern,20:51:00,20:51:00,0,3,0
2025-04-06,10:52:46,8503000,Zürich HB,8505000,Luzern,2025-01-09,2025-01-09,20:35:00,21:25:00,20:35:00,21:25:00,50,00d00:50:00,0,0,0,0,11,3,,,IR,IR,75,SBB,8503000,Zürich HB,20:35:00,20:35:00,0,11,8505000,Luzern,21:25:00,21:25:00,0,3,0
2025-04-06,10:52:46,8503000,Zürich HB,8505000,Luzern,2025-01-09,2025-01-09,21:10:00,21:51:00,21:10:00,21:51:00,41,00d00:41:00,0,0,0,0,6,3,,,IR,IR,70,SBB,8503000,Zürich HB,21:10:00,21:10:00,0,6,8505000,Luzern,21:51:00,21:51:00,0,3,0
2025-04-06,10:52:46,8503000,Zürich HB,8505000,Luzern,2025-01-09,2025-01-09,21:35:00,22:25:00,21:35:00,22:25:00,50,00d00:50:00,0,0,0,0,7,5,,,IR,IR,75,SBB,8503000,Zürich HB,21:35:00,21:35:00,0,7,8505000,Luzern,22:25:00,22:25:00,0,5,0
